"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","312","Negative testing for Get Author by ID Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 10:11:49 UTC 2026","passed","Fri Jan 30 10:11:49 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","325","Negative: Create book with malformed publishDate Invalid Date: 99-99-9999","","Fri Jan 30 10:11:46 UTC 2026","passed","Fri Jan 30 10:11:46 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","360","Error when deleting author with negative ID","","Fri Jan 30 10:11:48 UTC 2026","failed","Fri Jan 30 10:11:49 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testDeleteAuthorWithNegativeId"
"","590","Delete an author by their ID","","Fri Jan 30 10:11:52 UTC 2026","passed","Fri Jan 30 10:11:53 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testDeleteAuthor"
"","311","Security: SQL Injection attempt in book title","","Fri Jan 30 10:11:46 UTC 2026","passed","Fri Jan 30 10:11:47 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testSqlInjectionInTitle"
"","357","Negative: Create book with malformed publishDate Invalid Date: 2024-13-45","","Fri Jan 30 10:11:45 UTC 2026","passed","Fri Jan 30 10:11:46 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","612","Add a new author to the system","","Fri Jan 30 10:11:53 UTC 2026","passed","Fri Jan 30 10:11:54 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testCreateAuthor"
"","300","Negative testing for Get Author by ID Scenario: Zero ID with ID: 0","","Fri Jan 30 10:11:49 UTC 2026","passed","Fri Jan 30 10:11:50 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","749","Update an existing book by its ID","","Fri Jan 30 10:11:55 UTC 2026","passed","Fri Jan 30 10:11:56 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testUpdateBook"
"","332","Negative: Retrieve book with non-existent or boundary IDs Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 10:11:47 UTC 2026","passed","Fri Jan 30 10:11:48 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","314","Negative: Create book with malformed publishDate Invalid Date: ","","Fri Jan 30 10:11:46 UTC 2026","passed","Fri Jan 30 10:11:46 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","610","Update an existing authorâ€™s details","","Fri Jan 30 10:11:52 UTC 2026","passed","Fri Jan 30 10:11:52 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testUpdateAuthor"
"","300","Negative: Create book with empty JSON body","","Fri Jan 30 10:11:47 UTC 2026","passed","Fri Jan 30 10:11:47 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithEmptyBody"
"","305","Error when updating author that does not exist","","Fri Jan 30 10:11:50 UTC 2026","failed","Fri Jan 30 10:11:50 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testUpdateNonExistentAuthor"
"","317","Negative: Create book with 5000 character title","","Fri Jan 30 10:11:47 UTC 2026","passed","Fri Jan 30 10:11:47 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testLongTitleBoundary"
"","582","Retrieve details of a specific author by their ID","","Fri Jan 30 10:11:53 UTC 2026","passed","Fri Jan 30 10:11:53 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testGetAuthor"
"","613","Add a new book to the system","","Fri Jan 30 10:11:56 UTC 2026","passed","Fri Jan 30 10:11:56 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testCreateBook"
"","921","Retrieve a list of all books","","Fri Jan 30 10:11:54 UTC 2026","passed","Fri Jan 30 10:11:55 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testGetAllBooks"
"","600","Delete a book by its ID","","Fri Jan 30 10:11:56 UTC 2026","passed","Fri Jan 30 10:11:57 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testDeleteBook"
"","1607","Retrieve a list of all authors","","Fri Jan 30 10:11:50 UTC 2026","passed","Fri Jan 30 10:11:52 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testGetAllAuthors"
"","300","Negative: Retrieve book with non-existent or boundary IDs Scenario: Zero ID with ID: 0","","Fri Jan 30 10:11:48 UTC 2026","passed","Fri Jan 30 10:11:48 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","309","Negative testing for Get Author by ID Scenario: Negative ID with ID: -1","","Fri Jan 30 10:11:49 UTC 2026","passed","Fri Jan 30 10:11:49 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","1555","Negative: Create book with malformed publishDate Invalid Date: not-a-date","","Fri Jan 30 10:11:44 UTC 2026","passed","Fri Jan 30 10:11:45 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","304","Negative: Retrieve book with non-existent or boundary IDs Scenario: Negative ID with ID: -1","","Fri Jan 30 10:11:48 UTC 2026","passed","Fri Jan 30 10:11:48 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
